Date,Open,High,Low,Close,Adj Close,Volume
9/17/2021,91.440002,92.699997,91.029999,91.809998,91.118492,3231100
9/16/2021,94.050003,94.720001,91.830002,92,91.307068,959400
9/15/2021,94.330002,95.849998,93.959999,94.139999,93.430946,1007300
9/14/2021,98.389999,98.389999,94.330002,94.610001,93.897408,1128200
9/13/2021,97.550003,99.519997,97.550003,98.239998,97.142776,1097100
9/10/2021,99.120003,99.220001,97.199997,97.239998,96.153946,676700
9/9/2021,98.959999,99.419998,98.589996,99.059998,97.953621,637900
9/8/2021,97.699997,99.239998,97.120003,98.910004,97.805298,773500
9/7/2021,98.620003,99,97.07,97.699997,96.60881,898400
9/3/2021,99.290001,99.739998,98.459999,99.019997,97.914063,599700
9/2/2021,98.07,99.480003,97.620003,99.160004,98.052513,493900
9/1/2021,98.540001,98.540001,96.739998,97.760002,96.668137,467500
8/31/2021,97.82,98.300003,97.199997,98.110001,97.014229,1078400
8/30/2021,98.220001,98.980003,98,98.059998,96.964783,556100
8/27/2021,98.32,98.709999,97.739998,98.209999,97.113121,470500
8/26/2021,97.459999,98.040001,97.059998,97.889999,96.796684,635500
8/25/2021,96.529999,97.959999,96.419998,97.610001,96.519814,604800
8/24/2021,96.300003,97.269997,96.129997,96.739998,95.659531,479800
8/23/2021,96.400002,96.75,95.989998,96.349998,95.273888,420400
8/20/2021,95.660004,96.629997,95.300003,96.309998,95.234337,542300
8/19/2021,96.169998,97.309998,95.870003,96.669998,95.590309,499600
8/18/2021,98.5,98.949997,96.470001,96.629997,95.550758,529700
8/17/2021,97.690002,98.940002,97.160004,98.839996,97.736069,830300
8/16/2021,96.220001,97.919998,95.260002,97.889999,96.796684,946800
8/13/2021,95.690002,96.389999,95.25,95.639999,94.571815,739300
8/12/2021,96.300003,97.139999,95.599998,95.889999,94.819031,534100
8/11/2021,95,96.769997,94.75,96.370003,95.293671,853100
8/10/2021,93.489998,94.580002,92.690002,94.57,93.513763,862100
8/9/2021,94.019997,94.309998,93.440002,93.709999,92.663376,557700
8/6/2021,94.389999,95.410004,94.199997,94.379997,93.32589,598200
8/5/2021,95.010002,95.419998,93.050003,94.25,93.19735,1245200
8/4/2021,95.010002,98.220001,94.279999,94.480003,93.424782,1644300
8/3/2021,103.989998,104,94.230003,95.389999,94.324608,3012300
8/2/2021,106.879997,108.830002,106.699997,107.110001,105.913712,564900
7/30/2021,106.849998,107.760002,106.129997,106.419998,105.231415,576800
7/29/2021,107.510002,107.949997,106.739998,106.970001,105.775276,822200
7/28/2021,106.370003,107.230003,105.580002,106.529999,105.340187,595800
7/27/2021,106.059998,107.370003,105.699997,106.760002,105.567619,563800
7/26/2021,106,107.099998,105.800003,106.459999,105.270966,502700
7/23/2021,105.949997,106.419998,105.440002,106.419998,105.231415,451900
7/22/2021,105.389999,105.739998,104.849998,105.209999,104.034927,283400
7/21/2021,105.269997,106.32,105.080002,105.650002,104.470024,344500
7/20/2021,103.889999,105.790001,103.410004,104.949997,103.777832,615100
7/19/2021,105.470001,105.709999,102.050003,103.25,102.096825,911100
7/16/2021,105.720001,106.720001,105.669998,106.279999,105.092979,498100
7/15/2021,104.129997,105.720001,104.129997,105.449997,104.272255,450900
7/14/2021,104.510002,104.849998,102.739998,104.540001,103.372414,408200
7/13/2021,105.32,106.18,104.559998,104.730003,103.560303,813300
7/12/2021,104.169998,105.440002,104.169998,105.089996,103.916267,741900
7/9/2021,104.639999,105.720001,104.160004,104.839996,103.66906,519000
7/8/2021,103.139999,104.730003,102.879997,103.730003,102.571465,748400
7/7/2021,101.510002,104.050003,101.510002,103.989998,102.82856,576300
7/6/2021,102.160004,102.160004,99.349998,101.389999,100.257599,763600
7/2/2021,103.300003,103.309998,102.449997,102.559998,101.414528,341200
7/1/2021,101.449997,103.07,101.260002,103.029999,101.87928,509500
6/30/2021,101.660004,102,100.629997,101.099998,99.970833,525700
6/29/2021,101.879997,102.43,100.849998,100.93,99.802734,468000
6/28/2021,103.349998,103.690002,101.5,102.110001,100.969559,448100
6/25/2021,103.25,103.589996,102.589996,103.209999,102.057266,1263200
6/24/2021,103.769997,103.900002,101.919998,103.07,101.918839,751000
6/23/2021,105.330002,105.599998,103.449997,103.540001,102.383583,726100
6/22/2021,105.790001,106.169998,105.150002,105.440002,104.26236,674500
6/21/2021,104.169998,106.050003,103.699997,105.809998,104.628227,522600
6/18/2021,104.809998,105.620003,103.410004,103.440002,102.284706,1790900
6/17/2021,106.610001,106.699997,105.18,105.900002,104.717224,523300
6/16/2021,107.089996,107.330002,105.809998,105.889999,104.707336,573000
6/15/2021,107,107.610001,106.309998,107.160004,105.963158,612000
6/14/2021,106.339996,106.699997,105.629997,106.699997,105.508293,426900
6/11/2021,107.059998,107.059998,105.790001,106.889999,105.359962,602200
6/10/2021,105.550003,106.75,105.139999,106.68,105.152969,356500
6/9/2021,105.18,105.43,104.400002,104.93,103.428024,634100
6/8/2021,105,105.239998,104.269997,104.910004,103.40831,624100
6/7/2021,104.389999,104.889999,103.779999,104.43,102.935181,392800
6/4/2021,103.93,104.639999,103.599998,104.269997,102.777466,509400
6/3/2021,103.400002,103.839996,102.919998,103.540001,102.057915,408800
6/2/2021,103.540001,104.139999,103.160004,103.699997,102.215622,533100
6/1/2021,103.589996,103.760002,102.779999,103.199997,101.722786,382100
5/28/2021,103.349998,103.510002,102.260002,102.75,101.279221,745100
5/27/2021,103.449997,103.519997,102.769997,102.910004,101.436935,661300
5/26/2021,102.699997,103.190002,102.050003,102.589996,101.121506,577000
5/25/2021,103.169998,103.169998,101.959999,102.360001,100.894806,339100
5/24/2021,103.019997,103.660004,102.879997,102.949997,101.476357,345800
5/21/2021,103.419998,103.93,102.32,102.739998,101.269363,470300
5/20/2021,102.349998,103.190002,102.099998,102.739998,101.269363,371400
5/19/2021,102.769997,102.949997,101.230003,102.089996,100.628662,802000
5/18/2021,103.18,103.709999,102.769997,103.010002,101.5355,432400
5/17/2021,102.82,103.739998,102.580002,103.379997,101.9002,385800
5/14/2021,103.629997,104.050003,102.970001,103.379997,101.9002,491400
5/13/2021,101.989998,103.919998,101.910004,103.449997,101.969208,399200
5/12/2021,104.129997,104.269997,101.010002,101.470001,100.017555,941400
5/11/2021,103.690002,105.400002,102.330002,104.68,103.181595,1129300
5/10/2021,104.459999,105.980003,104.459999,104.480003,102.984459,537700
5/7/2021,103.389999,104.779999,103.169998,104.029999,102.540894,642200
5/6/2021,104.379997,104.779999,103.279999,103.900002,102.412766,717500
5/5/2021,105,105,102.050003,103.709999,102.225487,875900
5/4/2021,102.839996,104.870003,101.050003,104.800003,103.299881,1198600
5/3/2021,101.809998,104.260002,101.43,103.699997,102.215622,833400
4/30/2021,100.699997,101.470001,100,101.279999,99.830269,949300
